date,ticker,quantity,avg_cost,market_price,market_value,unrealized_pnl,weight_pct
2026-05-05,BND,128.427354,73.6292,73.2400,9406.02,-49.98,0.09301251
2026-05-05,DGRO,129.080613,73.0474,73.3600,9469.35,40.35,0.09363880
2026-05-05,GLD,10.572824,418.6204,418.3700,4423.35,-2.65,0.04374083
2026-05-05,HYG,55.127887,80.2679,79.9200,4405.82,-19.18,0.04356747
2026-05-05,IEF,46.606383,94.8583,94.5300,4405.70,-15.30,0.04356629
2026-05-05,QQQ,28.199331,663.5264,681.7000,19223.48,512.48,0.19009364
2026-05-05,VEA,138.439969,68.0945,68.9800,9549.59,122.59,0.09443222
2026-05-05,VTI,85.197379,351.5366,356.9900,30414.61,464.61,0.30075841
2026-05-05,VWO,74.894038,58.3491,59.3600,4445.71,75.71,0.04396192
2026-05-06,BND,128.427354,73.6292,73.5500,9445.83,-10.17,0.09205841
2026-05-06,DGRO,129.080613,73.0474,73.5800,9497.75,68.75,0.09256442
2026-05-06,GLD,10.572824,418.6204,431.3900,4561.01,135.01,0.04445129
2026-05-06,HYG,55.127887,80.2679,80.1600,4419.05,-5.95,0.04306776
2026-05-06,IEF,46.606383,94.8583,95.0000,4427.61,6.61,0.04315114
2026-05-06,QQQ,28.199331,663.5264,697.4699,19668.18,957.18,0.19168474
2026-05-06,VEA,138.439969,68.0945,70.8700,9811.24,384.24,0.09561966
2026-05-06,VTI,85.197379,351.5366,362.0000,30841.45,891.45,0.30057861
2026-05-06,VWO,74.894038,58.3491,60.7500,4549.81,179.81,0.04434215
2026-05-07,BND,128.427354,73.6292,73.6098,9453.51,-2.49,0.09253429
2026-05-07,DGRO,129.080613,73.0474,73.0800,9433.21,4.21,0.09233558
2026-05-07,GLD,10.572824,418.6204,432.5100,4572.85,146.85,0.04476068
2026-05-07,HYG,55.127887,80.2679,79.8600,4402.51,-22.49,0.04309334
2026-05-07,IEF,46.606383,94.8583,94.7100,4414.09,-6.91,0.04320666
2026-05-07,QQQ,28.199331,663.5264,695.8000,19621.09,910.09,0.19205815
2026-05-07,VEA,138.439969,68.0945,69.6700,9645.11,218.11,0.09440974
2026-05-07,VTI,85.197379,351.5366,360.6391,30725.51,775.51,0.30075202
2026-05-07,VWO,74.894038,58.3491,60.2100,4509.37,139.37,0.04413929
2026-05-08,BND,128.427354,73.6292,73.5000,9439.41,-16.59,0.09166423
2026-05-08,DGRO,129.080613,73.0474,73.0400,9428.05,-0.95,0.09155389
2026-05-08,GLD,10.572824,418.6204,433.3000,4581.20,155.20,0.04448716
2026-05-08,HYG,55.127887,80.2679,80.1400,4417.95,-7.05,0.04290182
2026-05-08,IEF,46.606383,94.8583,94.9885,4427.07,6.07,0.04299039
2026-05-08,QQQ,28.199331,663.5264,711.2300,20056.21,1345.21,0.19476184
2026-05-08,VEA,138.439969,68.0945,70.8300,9805.70,378.70,0.09522122
2026-05-08,VTI,85.197379,351.5366,362.7277,30903.45,953.45,0.30009721
2026-05-08,VWO,74.894038,58.3491,60.5400,4534.09,164.09,0.04402959
2026-05-11,BND,128.427354,73.6292,73.3300,9417.58,-38.42,0.09142717
2026-05-11,DGRO,129.080613,73.0474,73.1400,9440.96,11.96,0.09165413
2026-05-11,GLD,10.572824,418.6204,434.7400,4596.43,170.43,0.04462278
2026-05-11,HYG,55.127887,80.2679,79.9400,4406.92,-18.08,0.04278303
2026-05-11,IEF,46.606383,94.8583,94.6500,4411.29,-9.71,0.04282546
2026-05-11,QQQ,28.199331,663.5264,712.2500,20084.97,1373.97,0.19498774
2026-05-11,VEA,138.439969,68.0945,70.8200,9804.32,377.32,0.09518170
2026-05-11,VTI,85.197379,351.5366,363.1100,30936.02,986.02,0.30033123
2026-05-11,VWO,74.894038,58.3491,60.3900,4522.85,152.85,0.04390847
2026-05-12,BND,128.427354,73.6292,73.1912,9399.75,-56.25,0.09158556
2026-05-12,DGRO,129.080613,73.0474,73.3800,9471.94,42.94,0.09228887
2026-05-12,GLD,10.572824,418.6204,432.7400,4575.28,149.28,0.04457883
2026-05-12,HYG,55.127887,80.2679,79.8700,4403.06,-21.94,0.04290082
2026-05-12,IEF,46.606383,94.8583,94.3400,4396.85,-24.15,0.04284024
2026-05-12,QQQ,28.199331,663.5264,706.2200,19914.93,1203.93,0.19403918
2026-05-12,VEA,138.439969,68.0945,70.2834,9730.03,303.03,0.09480361
2026-05-12,VTI,85.197379,351.5366,362.7900,30908.76,958.76,0.30115644
2026-05-12,VWO,74.894038,58.3491,59.3900,4447.96,77.96,0.04333823
